location,date,total_cases,total_deaths,Death_Percentage
India,2020-09-27,5992532,94503,1.577012855
India,2020-09-28,6074702,95542,1.57278497
India,2020-09-29,6145291,96318,1.567346445
India,2020-09-30,6225763,97497,1.566024919
India,2020-10-01,6312584,98678,1.56319504
India,2020-10-02,6394068,99773,1.56039942
India,2020-10-03,6473544,100842,1.55775569
India,2020-10-04,6549373,101782,1.554072428
India,2020-10-05,6623815,102685,1.550239552
India,2020-10-06,6685082,103569,1.549255492
India,2020-10-07,6757131,104555,1.547328297
India,2020-10-08,6835655,105526,1.543758425
India,2020-10-09,6906151,106490,1.541958755
India,2020-10-10,6979423,107416,1.539038399
India,2020-10-11,7053806,108334,1.535823356
India,2020-10-12,7120538,109150,1.53288979
India,2020-10-13,7175880,109856,1.530906314
India,2020-10-14,7239389,110586,1.527559853
India,2020-10-15,7307097,111266,1.522711413
India,2020-10-16,7370468,112161,1.521762254
India,2020-10-18,7494551,114031,1.521518767
India,2020-10-17,7432680,112998,1.520286088
India,2020-10-19,7550273,114610,1.517958357
India,2020-10-20,7597063,115197,1.516335984
India,2020-10-21,7651107,115914,1.514996457
India,2020-10-22,7706946,116616,1.513128547
India,2020-10-23,7761312,117306,1.511419719
India,2020-10-24,7814682,117956,1.509415226
India,2020-10-25,7864811,118534,1.507143655
India,2020-10-26,7909959,119014,1.504609569
India,2020-10-27,7946429,119502,1.503845312
India,2020-10-28,7990322,120010,1.501941974
India,2020-10-29,8040203,120527,1.499054191
India,2020-10-30,8088851,121090,1.49699877
India,2020-10-31,8137119,121641,1.494890268
India,2020-11-01,8184082,122111,1.492054943
India,2020-11-02,8229313,122607,1.489881355
India,2020-11-03,8267623,123097,1.488904368
India,2020-11-04,8313876,123611,1.486803508
India,2020-11-05,8364086,124315,1.486295095
India,2020-11-06,8411724,124985,1.485842855
India,2020-11-07,8462080,125562,1.483819581
India,2020-11-08,8507754,126121,1.482424151
India,2020-11-09,8553657,126611,1.4801973
India,2020-11-10,8591730,127059,1.478852338
India,2020-11-11,8636011,127571,1.477198211
India,2020-11-12,8683916,128121,1.475382765
India,2020-11-13,8728795,128668,1.474063717
India,2020-11-14,8773479,129188,1.472483151
India,2020-11-17,8874290,130519,1.47075428
India,2020-11-15,8814579,129635,1.470688504
India,2020-11-16,8845127,130070,1.470527218
India,2020-11-18,8912907,130993,1.469700065
India,2020-11-19,8958483,131578,1.468753136
India,2020-11-20,9004365,132162,1.467754806
India,2020-11-21,9050597,132726,1.466488896
India,2020-11-22,9095806,133227,1.46470802
India,2020-11-23,9139865,133738,1.463238243
India,2020-11-24,9177840,134218,1.462413814
India,2020-11-25,9222216,134699,1.460592552
India,2020-11-26,9266705,135223,1.459234971
India,2020-11-27,9309787,135715,1.457766971
India,2020-11-28,9351109,136200,1.456511736
India,2020-11-29,9392919,136696,1.455309047
India,2020-12-01,9462809,137621,1.4543356
India,2020-12-04,9571559,139188,1.454183169
India,2020-12-03,9534964,138648,1.454100928
India,2020-11-30,9431691,137139,1.454023462
India,2020-12-02,9499413,138122,1.454005632
India,2020-12-05,9608211,139700,1.453964739
India,2020-12-06,9644222,140182,1.453533525
India,2020-12-07,9677203,140573,1.452620142
India,2020-12-08,9703770,140958,1.452610686
India,2020-12-09,9735850,141360,1.451953348
India,2020-12-10,9767371,141772,1.451485768
India,2020-12-12,9826775,142628,1.451422262
India,2020-12-11,9796769,142186,1.451356054
India,2020-12-13,9857029,143019,1.450934151
India,2020-12-18,9979447,144789,1.450871977
India,2020-12-17,9956557,144451,1.450812766
India,2020-12-16,9932547,144096,1.450745715
India,2020-12-15,9906165,143709,1.450702668
India,2020-12-19,10004599,145136,1.450692826
India,2020-12-14,9884100,143355,1.450359669
India,2020-12-20,10031223,145477,1.45024191
India,2020-12-22,10075116,146111,1.450216553
India,2020-12-23,10099066,146444,1.45007469
India,2020-12-21,10055560,145810,1.450043558
India,2020-12-25,10146845,147092,1.449632866
India,2020-12-24,10123778,146756,1.449616932
India,2020-12-29,10224303,148153,1.44902787
India,2020-12-27,10187850,147622,1.449000525
India,2020-12-26,10169118,147343,1.448926052
India,2020-12-30,10244852,148439,1.448913074
India,2020-12-28,10207871,147901,1.448891742
India,2020-12-31,10266674,148738,1.448745718
India,2021-01-01,10286709,148994,1.448412704
India,2021-01-02,10305788,149218,1.447904808
India,2021-01-03,10323965,149435,1.447457445
India,2021-01-04,10340469,149649,1.447216756
India,2021-01-06,10374932,150114,1.446891411
India,2021-01-05,10356844,149850,1.446869336
India,2021-01-07,10395278,150336,1.44619509
India,2021-01-08,10413417,150570,1.445923082
India,2021-01-09,10431639,150798,1.445583
India,2021-01-10,10450284,150999,1.444927238
India,2021-01-11,10466595,151160,1.44421371
India,2021-01-12,10479179,151327,1.444073052
India,2021-01-13,10495147,151529,1.443800644
India,2021-01-14,10512093,151727,1.443356713
India,2021-01-15,10527683,151918,1.443033572
India,2021-01-16,10542841,152093,1.44261874
India,2021-01-17,10557985,152274,1.442263841
India,2021-01-18,10571773,152419,1.441754377
India,2021-01-19,10581837,152556,1.441677849
India,2021-01-20,10595660,152718,1.441325977
India,2021-01-21,10610883,152869,1.440681233
India,2021-01-22,10625428,153032,1.44024316
India,2021-01-23,10639684,153184,1.439742007
India,2021-01-24,10654533,153339,1.439190249
India,2021-01-25,10667736,153470,1.438637027
India,2021-01-26,10676838,153587,1.438506419
India,2021-01-27,10689527,153724,1.438080469
India,2021-01-28,10701193,153847,1.437662137
India,2021-01-29,10720048,154010,1.436654015
India,2021-01-30,10733131,154147,1.436179247
India,2021-01-31,10746183,154274,1.435616721
India,2021-02-01,10757610,154392,1.435188671
India,2021-02-02,10766245,154486,1.434910686
India,2021-02-03,10777284,154596,1.434461595
